,Country Code,Year,Variable,Value,Country Name
0,ZWE,2021,NY.GDP.TOTL.RT.ZS,6.39845161112644,Zimbabwe
1,ZWE,2020,NY.GDP.TOTL.RT.ZS,4.74666809490234,Zimbabwe
2,ZWE,2019,NY.GDP.TOTL.RT.ZS,4.71576545765887,Zimbabwe
3,ZWE,2018,NY.GDP.TOTL.RT.ZS,3.37818944674235,Zimbabwe
4,ZWE,2017,NY.GDP.TOTL.RT.ZS,6.09544838030308,Zimbabwe
5,ZWE,2016,NY.GDP.TOTL.RT.ZS,4.49541367401877,Zimbabwe
6,ZWE,2015,NY.GDP.TOTL.RT.ZS,4.60618520596556,Zimbabwe
7,ZWE,2014,NY.GDP.TOTL.RT.ZS,5.62126327970579,Zimbabwe
8,ZWE,2013,NY.GDP.TOTL.RT.ZS,5.04283935109174,Zimbabwe
9,ZWE,2012,NY.GDP.TOTL.RT.ZS,5.96773281078297,Zimbabwe
10,ZWE,2011,NY.GDP.TOTL.RT.ZS,7.87938898914128,Zimbabwe
11,ZWE,2010,NY.GDP.TOTL.RT.ZS,7.09847064162797,Zimbabwe
12,ZWE,2009,NY.GDP.TOTL.RT.ZS,6.76260898727295,Zimbabwe
13,ZWE,2008,NY.GDP.TOTL.RT.ZS,18.3230470823159,Zimbabwe
14,ZWE,2007,NY.GDP.TOTL.RT.ZS,15.559238462362,Zimbabwe
15,ZWE,2006,NY.GDP.TOTL.RT.ZS,11.4813042316831,Zimbabwe
16,ZWE,2005,NY.GDP.TOTL.RT.ZS,8.5582074673681,Zimbabwe
17,ZWE,2004,NY.GDP.TOTL.RT.ZS,8.43730994677101,Zimbabwe
18,ZWE,2003,NY.GDP.TOTL.RT.ZS,6.98217572203532,Zimbabwe
19,ZWE,2002,NY.GDP.TOTL.RT.ZS,5.17219377081197,Zimbabwe
20,ZWE,2001,NY.GDP.TOTL.RT.ZS,4.02799179313518,Zimbabwe
21,ZWE,2000,NY.GDP.TOTL.RT.ZS,3.90170876645193,Zimbabwe
22,ZWE,1999,NY.GDP.TOTL.RT.ZS,3.70089065515096,Zimbabwe
23,ZWE,1998,NY.GDP.TOTL.RT.ZS,5.59080463449055,Zimbabwe
24,ZWE,1997,NY.GDP.TOTL.RT.ZS,6.77129137790896,Zimbabwe
25,ZWE,1996,NY.GDP.TOTL.RT.ZS,7.99042829291191,Zimbabwe
26,ZWE,1995,NY.GDP.TOTL.RT.ZS,8.54428671214653,Zimbabwe
27,ZWE,1994,NY.GDP.TOTL.RT.ZS,9.4870276684973,Zimbabwe
28,ZWE,1993,NY.GDP.TOTL.RT.ZS,8.72439507445918,Zimbabwe
29,ZWE,1992,NY.GDP.TOTL.RT.ZS,10.8168177308289,Zimbabwe
30,ZWE,1991,NY.GDP.TOTL.RT.ZS,9.66419162071991,Zimbabwe
31,ZWE,1990,NY.GDP.TOTL.RT.ZS,4.2124822922094,Zimbabwe
32,ZMB,2021,NY.GDP.TOTL.RT.ZS,35.2641479964325,Zambia
33,ZMB,2020,NY.GDP.TOTL.RT.ZS,16.2222307618142,Zambia
34,ZMB,2019,NY.GDP.TOTL.RT.ZS,7.91506539515975,Zambia
35,ZMB,2018,NY.GDP.TOTL.RT.ZS,11.7483463033985,Zambia
36,ZMB,2017,NY.GDP.TOTL.RT.ZS,13.2264399699464,Zambia
