Country Code,Series Name,Year,Country Name,Value
AFG,Economic Complexity,1991.0,Afghanistan,-0.451
AFG,Economic Complexity,1992.0,Afghanistan,-0.451
AFG,Economic Complexity,1993.0,Afghanistan,-0.451
AFG,Economic Complexity,1994.0,Afghanistan,-0.451
AFG,Economic Complexity,1995.0,Afghanistan,-0.451
AFG,Economic Complexity,1996.0,Afghanistan,-0.477
AFG,Economic Complexity,1997.0,Afghanistan,0.063
AFG,Economic Complexity,1998.0,Afghanistan,-0.278
AFG,Economic Complexity,1999.0,Afghanistan,-0.249
AFG,Economic Complexity,2000.0,Afghanistan,-0.169
AFG,Economic Complexity,2001.0,Afghanistan,0.021
AFG,Economic Complexity,2002.0,Afghanistan,-0.334
AFG,Economic Complexity,2003.0,Afghanistan,-0.485
AFG,Economic Complexity,2004.0,Afghanistan,-0.468
AFG,Economic Complexity,2005.0,Afghanistan,-0.135
AFG,Economic Complexity,2006.0,Afghanistan,-0.682
AFG,Economic Complexity,2007.0,Afghanistan,-0.842
AFG,Economic Complexity,2008.0,Afghanistan,-0.206
AFG,Economic Complexity,2009.0,Afghanistan,0.458
AFG,Economic Complexity,2010.0,Afghanistan,-0.008
AFG,Economic Complexity,2011.0,Afghanistan,-0.852
AFG,Economic Complexity,2012.0,Afghanistan,-0.833
AFG,Economic Complexity,2013.0,Afghanistan,-1.058
AFG,Economic Complexity,2014.0,Afghanistan,-0.956
AFG,Economic Complexity,2015.0,Afghanistan,-1.302
AFG,Economic Complexity,2016.0,Afghanistan,-1.543
AFG,Economic Complexity,2017.0,Afghanistan,-1.127
AFG,Economic Complexity,2018.0,Afghanistan,-1.263
AFG,Economic Complexity,2019.0,Afghanistan,-1.156
AFG,Economic Complexity,2020.0,Afghanistan,-1.134
AFG,Economic Complexity,2021.0,Afghanistan,-1.133
AFG,Economic Complexity,2022.0,Afghanistan,-1.347
AFG,Economic Complexity,2023.0,Afghanistan,-1.316
AFG,Economic Complexity,2024.0,Afghanistan,-1.316
AFG,GDP (current US$),1991.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1992.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1993.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1994.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1995.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1996.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1997.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1998.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),1999.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),2000.0,Afghanistan,3521418059.92345
AFG,GDP (current US$),2001.0,Afghanistan,2813571753.87253
AFG,GDP (current US$),2002.0,Afghanistan,3825701438.99963
AFG,GDP (current US$),2003.0,Afghanistan,4520946818.54581
AFG,GDP (current US$),2004.0,Afghanistan,5224896718.67782
AFG,GDP (current US$),2005.0,Afghanistan,6203256538.70967
AFG,GDP (current US$),2006.0,Afghanistan,6971758282.29351
AFG,GDP (current US$),2007.0,Afghanistan,9747886187.39393
AFG,GDP (current US$),2008.0,Afghanistan,10109297047.5432
AFG,GDP (current US$),2009.0,Afghanistan,12416152732.0567
AFG,GDP (current US$),2010.0,Afghanistan,15856668555.8336
AFG,GDP (current US$),2011.0,Afghanistan,17805098206.3141
AFG,GDP (current US$),2012.0,Afghanistan,19907329777.5872
AFG,GDP (current US$),2013.0,Afghanistan,20146416757.5987
AFG,GDP (current US$),2014.0,Afghanistan,20497128555.6972
AFG,GDP (current US$),2015.0,Afghanistan,19134221644.7325
AFG,GDP (current US$),2016.0,Afghanistan,18116572395.0772
AFG,GDP (current US$),2017.0,Afghanistan,18753456497.8159
AFG,GDP (current US$),2018.0,Afghanistan,18053222687.4126
AFG,GDP (current US$),2019.0,Afghanistan,18799444490.1128
AFG,GDP (current US$),2020.0,Afghanistan,19955929052.1496
AFG,GDP (current US$),2021.0,Afghanistan,14259995441.0759
AFG,GDP (current US$),2022.0,Afghanistan,14497243872.1337
AFG,GDP (current US$),2023.0,Afghanistan,17152234636.8715
AFG,GDP (current US$),2024.0,Afghanistan,17152234636.8715
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1991.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1992.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1993.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1994.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1995.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1996.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1997.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1998.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",1999.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2000.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2001.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2002.0,Afghanistan,1082.924
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2003.0,Afghanistan,1113.106
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2004.0,Afghanistan,1106.324
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2005.0,Afghanistan,1231.167
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2006.0,Afghanistan,1282.947
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2007.0,Afghanistan,1466.942
AFG,"Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021",2008.0,Afghanistan,1522.173
